,Topic,Word,P
0,0,user,0.052071396
1,0,million,0.030868068
2,0,since,0.02838898
3,0,month,0.025970563
4,0,access,0.024441367
5,0,november,0.023342373
6,0,free,0.01917245
7,0,app,0.015745351
8,0,com,0.013911311
9,0,per,0.013066808
10,0,launched,0.012725741
11,0,available,0.011674882
12,0,last,0.010431892
13,0,two,0.009951005
14,0,launch,0.009392176
15,0,version,0.009315673
16,0,day,0.00923729
17,0,openai,0.008746629
18,0,account,0.008374274
19,0,chatgpt,0.008355133
20,1,ai,0.031117436
21,1,technology,0.029552458
22,1,business,0.013036309
23,1,use,0.0125108985
24,1,tool,0.011368355
25,1,potential,0.010576391
26,1,content,0.010385909
27,1,platform,0.009643361
28,1,help,0.008108698
29,1,industry,0.007956234
30,1,service,0.007904287
31,1,new,0.0076413136
32,1,application,0.007519422
33,1,customer,0.006860566
34,1,used,0.0066263736
35,1,development,0.006500394
36,1,experience,0.006476493
37,1,said,0.0060880994
38,1,digital,0.0054894947
39,1,medium,0.0054308553
40,2,chatgpt,0.037473768
41,2,openai,0.036853567
42,2,google,0.03651716
43,2,microsoft,0.03606228
44,2,ai,0.033782292
45,2,search,0.029590406
46,2,intelligence,0.028285809
47,2,company,0.027903961
48,2,artificial,0.027783016
49,2,chatbot,0.02396944
50,2,new,0.019711608
51,2,bing,0.019274572
52,2,engine,0.015739221
53,2,bard,0.01388783
54,2,tech,0.010620354
55,2,billion,0.009429325
56,2,technology,0.009419585
57,2,week,0.008810337
58,2,announced,0.0087479465
59,2,powered,0.0077424212
60,3,chatgpt,0.084785216
61,3,ai,0.01555736
62,3,also,0.012506925
63,3,one,0.0107137645
64,3,like,0.010625936
65,3,could,0.008835292
66,3,people,0.008028176
67,3,time,0.007708667
68,3,said,0.007649165
69,3,would,0.007028036
70,3,way,0.00683728
71,3,even,0.006506572
72,3,make,0.0064668823
73,3,say,0.0064416816
74,3,work,0.0061333473
75,3,many,0.0060897926
76,3,may,0.005784594
77,3,u,0.0055289776
78,3,asked,0.0049599293
79,3,world,0.004872329
80,4,student,0.041596826
81,4,write,0.034434855
82,4,writing,0.024174089
83,4,use,0.022461683
84,4,chatgpt,0.02228379
85,4,school,0.021635158
86,4,essay,0.021361839
87,4,tool,0.01943175
88,4,university,0.017178064
89,4,education,0.014310367
90,4,written,0.014010164
91,4,using,0.0132547915
92,4,teacher,0.0126003735
93,4,exam,0.011649451
94,4,used,0.011609173
95,4,concern,0.0109427525
96,4,new,0.009285754
97,4,professor,0.009244424
98,4,program,0.0091750035
99,4,generated,0.008678718
100,5,model,0.031189794
101,5,question,0.029482273
102,5,answer,0.029335639
103,5,language,0.028056301
104,5,chatgpt,0.026700327
105,5,human,0.026271164
106,5,text,0.023805216
107,5,information,0.021130389
108,5,response,0.019628588
109,5,user,0.015065143
110,5,based,0.014763111
111,5,data,0.012843285
112,5,generate,0.012491175
113,5,like,0.011264012
114,5,trained,0.010168084
115,5,conversation,0.010123886
116,5,gpt,0.009740986
117,5,large,0.009585954
118,5,openai,0.009220584
119,5,ability,0.0083623445
